,DATE,GDP,growth_rate,year,month,jobs,growth_jobs
62,1962-07-01,609.027,1.442620001798911,1962,7,55746,0.2589834898025334
63,1962-10-01,612.28,0.5341306707255855,1962,10,56041,0.5291859505614838
64,1963-01-01,621.672,1.5339387208466837,1963,1,56115,0.1320461804749984
65,1963-04-01,629.752,1.2997207530659027,1963,4,56580,0.8286554397219925
66,1963-07-01,644.444,2.3329818722290785,1963,7,56794,0.37822552138564447
67,1963-10-01,653.938,1.473207912557184,1963,10,57283,0.8610064443427046
68,1964-01-01,669.822,2.428976447308462,1964,1,57487,0.3561265995146945
69,1964-04-01,678.674,1.3215451269143141,1964,4,57922,0.7566928175065657
70,1964-07-01,692.031,1.9681025057685986,1964,7,58412,0.8459652636304105
71,1964-10-01,697.319,0.7641276185604395,1964,10,58793,0.6522632335821399
72,1965-01-01,717.79,2.935672195939021,1965,1,59582,1.341996496181519
73,1965-04-01,730.191,1.7276640800234055,1965,4,60259,1.1362492027793714
74,1965-07-01,749.323,2.620136375277138,1965,7,60965,1.1716092201994766
75,1965-10-01,771.857,3.007247875749175,1965,10,61719,1.2367751988846098
76,1966-01-01,795.734,3.093448656940345,1966,1,62529,1.3123997472415327
77,1966-04-01,804.981,1.16207174759404,1966,4,63437,1.452126213436955
78,1966-07-01,819.638,1.8207883167428829,1966,7,64301,1.3619811781767632
79,1966-10-01,833.302,1.6670774171036573,1966,10,64854,0.8600177291177458
80,1967-01-01,844.17,1.3042090382598293,1967,1,65407,0.8526844913189668
81,1967-04-01,848.983,0.57014582370849,1967,4,65466,0.0902044123717749
82,1967-07-01,865.233,1.914054816174171,1967,7,65888,0.644609415574493
83,1967-10-01,881.439,1.8730214866978123,1967,10,66225,0.5114740165128806
84,1968-01-01,909.387,3.1707242361638244,1968,1,66804,0.8742921857304742
85,1968-04-01,934.344,2.7443761566857905,1968,4,67556,1.125681096940312
86,1968-07-01,950.825,1.763911364550963,1968,7,68126,0.8437444490496881
87,1968-10-01,968.03,1.8094812399757965,1968,10,68721,0.8733816751313794
88,1969-01-01,993.337,2.6142784831048704,1969,1,69439,1.044804353836537
89,1969-04-01,1009.02,1.5788196754978445,1969,4,70072,0.9115914687711557
90,1969-07-01,1029.956,2.0748845414362282,1969,7,70729,0.9376070327663077
91,1969-10-01,1038.147,0.7952766914314902,1969,10,71121,0.5542281101104107
92,1970-01-01,1051.2,1.2573363887773192,1970,1,71176,0.07733299588026377
93,1970-04-01,1067.375,1.5387176560121674,1970,4,71348,0.24165449027762076
94,1970-07-01,1086.059,1.7504625834406706,1970,7,71053,-0.4134663900880242
95,1970-10-01,1088.608,0.23470179796860613,1970,10,70521,-0.7487368584014775
96,1971-01-01,1135.156,4.275919339192802,1971,1,70865,0.48779796089108984
97,1971-04-01,1156.271,1.8600967620309383,1971,4,71036,0.24130388767373834
98,1971-07-01,1177.675,1.8511231363581793,1971,7,71315,0.39275860127259143
99,1971-10-01,1190.297,1.0717727726240245,1971,10,71642,0.4585290612073134
100,1972-01-01,1230.609,3.3867177687585404,1972,1,72441,1.1152675804695589
101,1972-04-01,1266.369,2.9058783090323503,1972,4,73162,0.9952927209729401
102,1972-07-01,1290.566,1.9107384972310681,1972,7,73709,0.7476558869358385
103,1972-10-01,1328.904,2.9706345897846376,1972,10,74674,1.3092024040483485
104,1973-01-01,1377.49,3.6560955494151504,1973,1,75617,1.2628224013712996
105,1973-04-01,1413.887,2.6422696353512576,1973,4,76455,1.108216406363649
106,1973-07-01,1433.838,1.4110745766811705,1973,7,76913,0.5990451899810401
107,1973-10-01,1476.289,2.960655248361399,1973,10,77607,0.9023182036846933
108,1974-01-01,1491.209,1.0106422252011749,1974,1,78100,0.6352519746930074
109,1974-04-01,1530.056,2.605067431862329,1974,4,78382,0.36107554417412757
110,1974-07-01,1560.026,1.9587518365340895,1974,7,78636,0.32405399198796037
111,1974-10-01,1599.679,2.5418166107487927,1974,10,78630,-0.00763009308714091
112,1975-01-01,1616.116,1.027518645928338,1975,1,77293,-1.700368815973552
113,1975-04-01,1651.853,2.2112892886401836,1975,4,76460,-1.0777172577076888
114,1975-07-01,1709.82,3.5092105653468986,1975,7,76770,0.40544075333508456
115,1975-10-01,1761.831,3.0418991472786594,1975,10,77540,1.0029959619643147
116,1976-01-01,1820.487,3.3292637034993744,1976,1,78503,1.2419396440546793
117,1976-04-01,1852.332,1.7492572042535848,1976,4,79292,1.0050571315745938
118,1976-07-01,1886.558,1.8477249218822545,1976,7,79547,0.32159612571256435
119,1976-10-01,1934.273,2.529209279545075,1976,10,79911,0.4575911096584395
120,1977-01-01,1988.648,2.8111336920900065,1977,1,80690,0.9748345033850248
121,1977-04-01,2055.909,3.382247637590985,1977,4,81728,1.2864047589540295
122,1977-07-01,2118.473,3.043130800049987,1977,7,82834,1.3532693813625762
123,1977-10-01,2164.27,2.161792951810093,1977,10,83800,1.166187797281304
124,1978-01-01,2202.76,1.778428754268191,1978,1,84594,0.9474940334128767
125,1978-04-01,2331.633,5.850523888212944,1978,4,86162,1.8535593540913053
126,1978-07-01,2395.053,2.719982089805728,1978,7,87204,1.2093498293911376
127,1978-10-01,2476.949,3.4193815335193056,1978,10,87956,0.8623457639557852
128,1979-01-01,2526.61,2.004926221734893,1979,1,88808,0.9686661512574579
129,1979-04-01,2591.247,2.5582499871368958,1979,4,89417,0.6857490316187764
130,1979-07-01,2667.565,2.94522289847321,1979,7,90217,0.8946844559759359
131,1979-10-01,2723.883,2.111213784856214,1979,10,90481,0.2926277752530071
132,1980-01-01,2789.842,2.421506356917691,1980,1,90800,0.35256020601011073
133,1980-04-01,2797.352,0.26919087174110956,1980,4,90849,0.053964757709246136
134,1980-07-01,2856.483,2.1138204988146114,1980,7,89840,-1.1106341291593713
135,1980-10-01,2985.557,4.518633578424924,1980,10,90490,0.7235084594835239
136,1981-01-01,3124.206,4.643991054265606,1981,1,91033,0.6000663056691335
137,1981-04-01,3162.532,1.2267436910370133,1981,4,91283,0.27462568519107666
138,1981-07-01,3260.609,3.101217631948061,1981,7,91601,0.34836716584687455
139,1981-10-01,3280.818,0.6197921921947902,1981,10,91380,-0.2412637416622121
140,1982-01-01,3274.302,-0.19860900543705595,1982,1,90565,-0.8918800612825573
141,1982-04-01,3331.972,1.7612914141700964,1982,4,90150,-0.4582344172693653
142,1982-07-01,3366.322,1.030921028147902,1982,7,89521,-0.6977260122018825
143,1982-10-01,3402.561,1.0765161502672704,1982,10,88907,-0.6858725885546368
144,1983-01-01,3473.413,2.0823138806328467,1983,1,88990,0.09335597871933388
145,1983-04-01,3578.848,3.035486997946979,1983,4,89364,0.42027194066749374
146,1983-07-01,3689.179,3.0828635359758216,1983,7,90437,1.2007072199095914
147,1983-10-01,3794.706,2.8604467281202695,1983,10,91520,1.1975187146853639
148,1984-01-01,3908.054,2.9870034727327965,1984,1,92673,1.2598339160839078
149,1984-04-01,4009.601,2.598403195042853,1984,4,93792,1.2074714318086155
150,1984-07-01,4084.25,1.861756319394381,1984,7,94789,1.0629904469464435
151,1984-10-01,4148.551,1.574364938483197,1984,10,95629,0.8861787760183093
152,1985-01-01,4230.168,1.967361616140173,1985,1,96372,0.7769609637243935
153,1985-04-01,4294.887,1.5299392364558573,1985,4,97038,0.6910720956294414
154,1985-07-01,4386.773,2.139427649668102,1985,7,97648,0.6286197159875551
155,1985-10-01,4444.094,1.306678052408916,1985,10,98233,0.599090611174824
156,1986-01-01,4507.894,1.4356131981006826,1986,1,98732,0.5079759347673463
157,1986-04-01,4545.34,0.8306761427841813,1986,4,99121,0.3939958676011823
158,1986-07-01,4607.669,1.3712725560684147,1986,7,99473,0.35512151814449666
159,1986-10-01,4657.627,1.0842358685053233,1986,10,100121,0.6514330521850242
160,1987-01-01,4722.156,1.38544799744591,1987,1,100678,0.5563268445181402
161,1987-04-01,4806.16,1.7789331822159138,1987,4,101499,0.8154711059019881
162,1987-07-01,4884.555,1.6311358756262884,1987,7,102247,0.7369530734292917
163,1987-10-01,5007.994,2.5271288786798296,1987,10,103138,0.8714192103435714
164,1988-01-01,5073.372,1.3054728100712731,1988,1,103753,0.5962884678779812
165,1988-04-01,5190.036,2.2995356934204736,1988,4,104732,0.9435871733829426
166,1988-07-01,5282.835,1.7880222796142542,1988,7,105550,0.7810411335599454
167,1988-10-01,5399.509,2.2085490082503156,1988,10,106276,0.687825675035536
168,1989-01-01,5511.253,2.069521506492533,1989,1,107161,0.8327374007301769
169,1989-04-01,5612.463,1.8364244936677654,1989,4,107791,0.5879004488573258
170,1989-07-01,5695.365,1.4771055060853078,1989,7,108069,0.2579065042535911
171,1989-10-01,5747.237,0.9107756921637122,1989,10,108476,0.3766112391157428
172,1990-01-01,5872.701,2.183031602838015,1990,1,109199,0.6665068770972393
173,1990-04-01,5960.028,1.4869989124254746,1990,4,109686,0.4459747799888225
174,1990-07-01,6015.116,0.9242909597068971,1990,7,109824,0.1258136863410142
175,1990-10-01,6004.733,-0.17261512496183906,1990,10,109367,-0.41612033799534043
176,1991-01-01,6035.178,0.5070167149813232,1991,1,109055,-0.28527800890579824
177,1991-04-01,6126.862,1.5191598325683175,1991,4,108364,-0.6336252349731786
178,1991-07-01,6205.937,1.2906280572338558,1991,7,108292,-0.06644273005794732
179,1991-10-01,6264.54,0.9443054288176045,1991,10,108357,0.060022901045320154
180,1992-01-01,6363.102,1.573331800898381,1992,1,108369,0.011074503723795814
181,1992-04-01,6470.763,1.6919577903984573,1992,4,108519,0.13841596766603903
182,1992-07-01,6566.641,1.4817108894267905,1992,7,108793,0.2524903473124507
183,1992-10-01,6680.803,1.7385144094218097,1992,10,109139,0.3180351677038118
184,1993-01-01,6729.459,0.72829568541386,1993,1,109794,0.6001520996160803
185,1993-04-01,6808.939,1.1810756258415545,1993,4,110296,0.4572198845109954
186,1993-07-01,6882.098,1.0744552124787754,1993,7,111055,0.6881482556031049
187,1993-10-01,7013.738,1.9127888036468033,1993,10,111733,0.6105083066948902
188,1994-01-01,7115.652,1.4530625466762537,1994,1,112595,0.7714820151611512
189,1994-04-01,7246.931,1.8449328325780945,1994,4,113586,0.8801456547804065
190,1994-07-01,7331.075,1.1610984015164583,1994,7,114610,0.9015195534660903
191,1994-10-01,7455.288,1.6943354146561118,1994,10,115458,0.7399005322397789
192,1995-01-01,7522.289,0.8987043827146657,1995,1,116501,0.9033587971383428
193,1995-04-01,7580.997,0.7804539283188916,1995,4,117069,0.48754946309472746
194,1995-07-01,7683.125,1.347157900207585,1995,7,117380,0.26565529730329107
195,1995-10-01,7772.586,1.1643829821849971,1995,10,118031,0.5546089623445161
196,1996-01-01,7868.468,1.2335920117191312,1996,1,118316,0.24146198879955172
197,1996-04-01,8032.84,2.088996231540885,1996,4,119158,0.7116535379830369
198,1996-07-01,8131.408,1.2270629067677286,1996,7,120015,0.7192131455714179
199,1996-10-01,8259.771,1.57860729654693,1996,10,120665,0.5415989667958199
200,1997-01-01,8362.655,1.2456035403402899,1997,1,121363,0.5784610284672365
201,1997-04-01,8518.825,1.867469123143306,1997,4,122286,0.7605283323582901
202,1997-07-01,8662.823,1.6903504884769882,1997,7,123111,0.674647956430019
203,1997-10-01,8765.907,1.1899585158325232,1997,10,123929,0.6644410328890293
204,1998-01-01,8866.48,1.1473199521738087,1998,1,124812,0.7125047406176144
205,1998-04-01,8969.699,1.164148568541301,1998,4,125442,0.5047591577732824
206,1998-07-01,9121.097,1.6878827260535578,1998,7,126205,0.6082492307201814
207,1998-10-01,9293.991,1.8955395387199703,1998,10,126954,0.5934788637534272
208,1999-01-01,9417.264,1.326373137223813,1999,1,127702,0.589189785276556
209,1999-04-01,9524.152,1.1350218067583295,1999,4,128597,0.7008504173779517
210,1999-07-01,9681.856,1.6558324562648608,1999,7,129414,0.6353180867360919
211,1999-10-01,9899.378,2.246697327454572,1999,10,130177,0.5895807254238328
212,2000-01-01,10002.857,1.0453080991553065,2000,1,131005,0.6360570607711002
213,2000-04-01,10247.679,2.447520743323639,2000,4,131888,0.6740200755696257
214,2000-07-01,10319.825,0.7040228328775822,2000,7,132236,0.26386024505640204
215,2000-10-01,10439.025,1.1550583464351227,2000,10,132351,0.08696572794095747
216,2001-01-01,10472.879,0.32430231750570915,2001,1,132698,0.26218162310824855
217,2001-04-01,10597.822,1.1930148338389124,2001,4,132463,-0.17709385220575635
218,2001-07-01,10596.294,-0.014418056842246951,2001,7,132177,-0.2159093482708374
219,2001-10-01,10660.294,0.6039847516499552,2001,10,131454,-0.5469938037631406
220,2002-01-01,10788.952,1.2068897912196341,2002,1,130852,-0.45795487394829637
221,2002-04-01,10893.207,0.9663125760500213,2002,4,130623,-0.17500687799957282
222,2002-07-01,10992.051,0.907391184249029,2002,7,130590,-0.025263544704989815
223,2002-10-01,11071.463,0.7224493408918953,2002,10,130628,0.029098705873353836
224,2003-01-01,11183.507,1.0120071755647775,2003,1,130580,-0.036745567565910076
225,2003-04-01,11312.875,1.1567748828699376,2003,4,130177,-0.3086230663195022
226,2003-07-01,11567.326,2.2492160480867884,2003,7,130191,0.010754587984052044
227,2003-10-01,11769.275,1.7458572534395644,2003,10,130454,0.2020108916898966
228,2004-01-01,11920.169,1.2821010639992636,2004,1,130769,0.24146442424148873
229,2004-04-01,12108.987,1.584021166142846,2004,4,131411,0.4909420428389044
230,2004-07-01,12303.34,1.6050310401687584,2004,7,131848,0.3325444597484184
231,2004-10-01,12522.425,1.7806953233837186,2004,10,132447,0.45431102481645613
232,2005-01-01,12761.337,1.9078732753440297,2005,1,132774,0.24689120931391528
233,2005-04-01,12910.022,1.1651208646868305,2005,4,133518,0.560350671065124
234,2005-07-01,13142.873,1.8036452610227904,2005,7,134296,0.5826929702362316
235,2005-10-01,13332.316,1.441412391339414,2005,10,134655,0.2673199499612755
236,2006-01-01,13603.933,2.0372829446886787,2006,1,135429,0.5748022724741064
237,2006-04-01,13749.806,1.072285492732128,2006,4,136205,0.572993967318669
238,2006-07-01,13867.469,0.8557429828464302,2006,7,136520,0.2312690429866704
239,2006-10-01,14037.228,1.2241527275092423,2006,10,136852,0.24318781130969747
240,2007-01-01,14208.569,1.2206184867838532,2007,1,137477,0.45669774647063566
241,2007-04-01,14382.363,1.223163289702156,2007,4,137842,0.2654989561890364
242,2007-07-01,14535.003,1.0612998712381305,2007,7,138038,0.1421917847970855
243,2007-10-01,14681.501,1.007897968786109,2007,10,138174,0.09852359495210461
244,2008-01-01,14651.039,-0.2074855970108147,2008,1,138403,0.1657330612126806
245,2008-04-01,14805.611,1.055024152212014,2008,4,138035,-0.2658901902415356
246,2008-07-01,14835.187,0.1997621037051367,2008,7,137491,-0.3941029449052724
247,2008-10-01,14559.543,-1.8580419646884172,2008,10,136272,-0.886603486773685
248,2009-01-01,14394.547,-1.1332498554384562,2009,1,134055,-1.626893272278973
249,2009-04-01,14352.85,-0.28967219322706406,2009,4,131817,-1.6694640259594995
250,2009-07-01,14420.312,0.47002511696283555,2009,7,130668,-0.8716629873233295
251,2009-10-01,14628.021,1.4403918583731024,2009,10,130045,-0.47678084917500696
252,2010-01-01,14721.35,0.6380152175061715,2010,1,129790,-0.19608597024106666
253,2010-04-01,14926.098,1.3908235318092377,2010,4,130110,0.2465521226596712
254,2010-07-01,15079.917,1.0305372509278765,2010,7,130427,0.24363999692567084
255,2010-10-01,15240.843,1.067154414709326,2010,10,130625,0.15180905794045518
256,2011-01-01,15285.828,0.29516083854415065,2011,1,130841,0.16535885167463515
257,2011-04-01,15496.189,1.3761832201697022,2011,4,131602,0.581621968648971
258,2011-07-01,15591.85,0.6173195228839745,2011,7,131999,0.30166714791568516
259,2011-10-01,15796.46,1.3122881505401862,2011,10,132562,0.4265183827150132
260,2012-01-01,16019.758,1.4135951979114436,2012,1,133250,0.5190024290520734
261,2012-04-01,16152.257,0.8270973881128629,2012,4,133834,0.43827392120074915
262,2012-07-01,16257.151,0.6494076957789918,2012,7,134159,0.24283814277388238
263,2012-10-01,16358.863,0.6256446778405422,2012,10,134677,0.38610901989430957
264,2013-01-01,16569.591,1.2881579850628988,2013,1,135263,0.4351151273045861
265,2013-04-01,16637.926,0.4124121108360468,2013,4,135871,0.4494946881260953
266,2013-07-01,16848.748,1.2671170673556276,2013,7,136386,0.3790359973798729
267,2013-10-01,17083.137,1.3911360060699929,2013,10,137040,0.47952135849720356
268,2014-01-01,17104.555,0.1253750994328673,2014,1,137548,0.37069468768242686
269,2014-04-01,17432.909,1.91968747506146,2014,4,138293,0.5416291040218679
270,2014-07-01,17721.657,1.656338595010154,2014,7,139069,0.5611274612597805
271,2014-10-01,17849.912,0.7237190066369026,2014,10,139818,0.5385815674233685
272,2015-01-01,17984.178,0.7521941844867319,2015,1,140568,0.5364116208213643
273,2015-04-01,18219.405,1.3079663691051069,2015,4,141194,0.4453360651072824
274,2015-07-01,18344.713,0.6877721857547092,2015,7,142001,0.5715540320410106
275,2015-10-01,18350.825,0.033317501342211564,2015,10,142587,0.41267315018909123
276,2016-01-01,18424.283,0.4002980792416677,2016,1,143205,0.43341959645690764
277,2016-04-01,18637.253,1.1559201516824436,2016,4,143851,0.45110156768268794
278,2016-07-01,18806.743,0.9094151375205195,2016,7,144521,0.4657597096996202
279,2016-10-01,18991.883,0.984434146837665,2016,10,145071,0.3805675299783484
280,2017-01-01,19190.431,1.0454360949885722,2017,1,145612,0.37292084565487826
281,2017-04-01,19356.649,0.8661504267413411,2017,4,146154,0.3722220696096512
282,2017-07-01,19611.704,1.3176609236443815,2017,7,146734,0.39684168753506555
283,2017-10-01,19918.91,1.5664421612726631,2017,10,147215,0.32780405359358333
284,2018-01-01,20163.159,1.226216695592286,2018,1,147671,0.3097510443908602
285,2018-04-01,20510.177,1.7210497620933296,2018,4,148397,0.49163342836440194
286,2018-07-01,20749.752,1.1680786567565882,2018,7,149030,0.42655848837913624
287,2018-10-01,20897.804,0.7135121422173984,2018,10,149576,0.36636918741193014
288,2019-01-01,21098.827,0.9619336079523144,2019,1,150145,0.38040862170400924
289,2019-04-01,21340.267,1.1443290188596578,2019,4,150482,0.22444969862467357
290,2019-07-01,21542.54,0.9478466225375737,2019,7,150913,0.28641299291609634
291,2019-10-01,21729.124,0.8661188513517937,2019,10,151524,0.4048690305010094
292,2020-01-01,21539.689,-0.8718022871055497,2020,1,152234,0.4685726353580888
293,2020-04-01,19520.114,-9.376063879102425,2020,4,130161,-14.499389098361737
294,2020-07-01,21170.252,8.45352644969184,2020,7,139566,7.225666674349451
295,2020-10-01,21487.896,1.5004261640343186,2020,10,142545,2.134474012295251
